model,fold,n_train,n_val,n_val_trucha,n_val_rohu,epochs_run,f1,accuracy,tiempo_s
vit_base_patch16_224,1,1012,249,160,89,30,84.04,85.94,737.9
vit_base_patch16_224,2,1007,254,160,94,23,90.03,91.73,563.8
vit_base_patch16_224,3,1015,246,162,84,17,91.55,92.68,410.8
vit_base_patch16_224,4,977,284,162,122,30,87.63,90.14,728.4
vit_base_patch16_224,5,1033,228,161,67,20,87.62,88.6,482.0
swin_base_patch4_window7_224,1,1012,249,160,89,23,87.35,88.76,864.1
swin_base_patch4_window7_224,2,1007,254,160,94,24,91.55,92.91,902.1
swin_base_patch4_window7_224,3,1015,246,162,84,24,93.47,94.31,905.9
swin_base_patch4_window7_224,4,977,284,162,122,21,92.39,93.66,794.9
swin_base_patch4_window7_224,5,1033,228,161,67,18,90.98,91.67,680.4
densenet121,1,1012,249,160,89,24,85.75,86.75,331.0
densenet121,2,1007,254,160,94,26,83.25,86.22,358.5
densenet121,3,1015,246,162,84,30,86.25,88.62,413.6
densenet121,4,977,284,162,122,26,77.1,82.75,359.7
densenet121,5,1033,228,161,67,20,81.92,83.77,272.3
efficientnet_b0,1,1012,249,160,89,22,60.0,64.66,189.4
efficientnet_b0,2,1007,254,160,94,30,64.54,67.72,253.2
efficientnet_b0,3,1015,246,162,84,30,66.14,68.29,255.1
efficientnet_b0,4,977,284,162,122,9,61.17,62.32,79.5
efficientnet_b0,5,1033,228,161,67,29,73.99,75.0,245.1
