model,fold,n_train,n_val,n_val_trucha,n_val_rohu,epochs_run,f1,accuracy,tiempo_s
vit_base_patch16_224,1,2024,249,160,89,24,87.16,88.35,1005.0
vit_base_patch16_224,2,2014,254,160,94,21,94.05,94.88,877.5
vit_base_patch16_224,3,2030,246,162,84,19,92.1,93.09,796.1
vit_base_patch16_224,4,1954,284,162,122,30,92.34,93.66,1243.3
vit_base_patch16_224,5,2066,228,161,67,22,89.97,90.79,930.3
swin_base_patch4_window7_224,1,2024,249,160,89,22,87.57,88.76,1433.5
swin_base_patch4_window7_224,2,2014,254,160,94,22,92.11,93.31,1435.0
swin_base_patch4_window7_224,3,2030,246,162,84,23,95.27,95.93,1504.2
swin_base_patch4_window7_224,4,1954,284,162,122,28,93.28,94.37,1801.1
swin_base_patch4_window7_224,5,2066,228,161,67,13,91.43,92.11,858.5
densenet121,1,2024,249,160,89,29,87.76,88.76,691.8
densenet121,2,2014,254,160,94,22,88.48,90.16,525.4
densenet121,3,2030,246,162,84,30,90.41,91.87,721.6
densenet121,4,1954,284,162,122,29,82.7,86.27,679.4
densenet121,5,2066,228,161,67,13,83.54,85.09,316.1
efficientnet_b0,1,2024,249,160,89,30,70.18,73.49,456.4
efficientnet_b0,2,2014,254,160,94,30,72.11,74.41,459.6
efficientnet_b0,3,2030,246,162,84,30,72.2,74.39,463.4
efficientnet_b0,4,1954,284,162,122,22,65.89,71.48,330.1
efficientnet_b0,5,2066,228,161,67,26,77.6,78.95,401.0
