model,target_domain,fold,n_train,n_val,epochs_run,f1,accuracy,tiempo_s
vit_base_patch16_224,onedrive_trucha,1,920,230,26,84.6,85.22,556.1
vit_base_patch16_224,onedrive_trucha,2,920,230,30,87.6,88.26,641.3
vit_base_patch16_224,onedrive_trucha,3,920,230,23,92.8,93.04,491.3
vit_base_patch16_224,onedrive_trucha,4,920,230,29,83.2,84.35,619.4
vit_base_patch16_224,onedrive_trucha,5,920,230,15,82.36,83.48,321.0
swin_base_patch4_window7_224,onedrive_trucha,1,920,230,20,89.21,89.57,665.4
swin_base_patch4_window7_224,onedrive_trucha,2,920,230,22,88.18,88.7,737.8
swin_base_patch4_window7_224,onedrive_trucha,3,920,230,23,93.72,93.91,768.3
swin_base_patch4_window7_224,onedrive_trucha,4,920,230,28,88.61,89.13,932.3
swin_base_patch4_window7_224,onedrive_trucha,5,920,230,28,93.31,93.48,933.7
densenet121,onedrive_trucha,1,920,230,30,78.01,79.13,361.0
densenet121,onedrive_trucha,2,920,230,30,82.59,83.48,365.4
densenet121,onedrive_trucha,3,920,230,28,85.45,86.09,345.0
densenet121,onedrive_trucha,4,920,230,28,76.59,78.7,351.2
densenet121,onedrive_trucha,5,920,230,23,81.76,83.04,285.0
efficientnet_b0,onedrive_trucha,1,920,230,29,57.64,59.57,219.1
efficientnet_b0,onedrive_trucha,2,920,230,29,54.56,54.78,217.8
efficientnet_b0,onedrive_trucha,3,920,230,18,58.93,59.13,138.6
efficientnet_b0,onedrive_trucha,4,920,230,30,61.28,62.17,227.0
efficientnet_b0,onedrive_trucha,5,920,230,25,59.05,59.13,192.5
