model,target_domain,fold,n_train,n_val,epochs_run,f1,accuracy,tiempo_s
vit_base_patch16_224,onedrive_trucha,1,1840,230,27,86.93,87.39,1030.0
vit_base_patch16_224,onedrive_trucha,2,1840,230,30,90.51,90.87,1145.2
vit_base_patch16_224,onedrive_trucha,3,1840,230,25,94.16,94.35,953.0
vit_base_patch16_224,onedrive_trucha,4,1840,230,28,84.71,85.65,1067.6
vit_base_patch16_224,onedrive_trucha,5,1840,230,28,88.61,89.13,1068.0
swin_base_patch4_window7_224,onedrive_trucha,1,1840,230,23,90.0,90.43,1364.0
swin_base_patch4_window7_224,onedrive_trucha,2,1840,230,21,91.38,91.74,1251.5
swin_base_patch4_window7_224,onedrive_trucha,3,1840,230,22,95.52,95.65,1310.0
swin_base_patch4_window7_224,onedrive_trucha,4,1840,230,26,90.87,91.3,1549.3
swin_base_patch4_window7_224,onedrive_trucha,5,1840,230,26,94.2,94.35,1548.1
densenet121,onedrive_trucha,1,1840,230,30,84.0,84.78,645.7
densenet121,onedrive_trucha,2,1840,230,30,87.22,87.83,666.1
densenet121,onedrive_trucha,3,1840,230,27,90.57,90.87,599.4
densenet121,onedrive_trucha,4,1840,230,25,79.79,81.3,552.8
densenet121,onedrive_trucha,5,1840,230,30,87.98,88.7,662.2
efficientnet_b0,onedrive_trucha,1,1840,230,30,65.18,66.96,427.4
efficientnet_b0,onedrive_trucha,2,1840,230,30,65.09,65.22,417.8
efficientnet_b0,onedrive_trucha,3,1840,230,30,68.21,68.26,420.3
efficientnet_b0,onedrive_trucha,4,1840,230,30,70.21,71.3,425.3
efficientnet_b0,onedrive_trucha,5,1840,230,30,68.13,68.26,416.9
